"","H","C","Tau","D"
"1211",0.998931647114813,0.00255541451394579,1,6
"1212",0.99877454438911,0.00293702352499637,1,6
"1213",0.998965295283064,0.00247268584091792,1,6
"1214",0.998918585847045,0.00259054744098775,1,6
"1215",0.998901293938451,0.00262355592768434,1,6
"1216",0.998986221943262,0.00242819828427825,1,6
"1217",0.998901205542651,0.00264248977412965,1,6
"1218",0.999038978244794,0.00229592864028104,1,6
"1219",0.99895606152474,0.00249830003270671,1,6
"1220",0.998837884465198,0.00278598853067433,1,6
"1221",0.998902567076648,0.00262903899334852,1,6
"1222",0.998992190796543,0.00241343241910154,1,6
"1223",0.998894619213337,0.00265254673228714,1,6
"1224",0.99896057067206,0.00247902991519545,1,6
"1225",0.998841217927267,0.00278391251551901,1,6
"1226",0.998909418119999,0.0026174520041602,1,6
"1227",0.998857895920937,0.00273772428979692,1,6
"1228",0.998903182805909,0.00263334260627923,1,6
"1229",0.998763344698068,0.00297229667653612,1,6
"1230",0.99888539955958,0.00266975533523232,1,6
"1231",0.99895143737139,0.00251153702330427,1,6
"1232",0.99889884812156,0.00263525832829761,1,6
"1233",0.998835286196467,0.00279105634066433,1,6
"1234",0.998889137697864,0.0026608023441405,1,6
"1235",0.998824247535917,0.00281612826400211,1,6
"1236",0.998939287108441,0.00253456132083434,1,6
"1237",0.998918627972515,0.00258942705733356,1,6
"1238",0.998847273002248,0.00276282698187251,1,6
"1239",0.998938944777419,0.00254281166140407,1,6
"1240",0.998968515884179,0.0024734616112757,1,6
"1241",0.998971216946734,0.00246633886625534,1,6
"1242",0.998893128002908,0.00264709461739648,1,6
"1243",0.998877346931196,0.00269273109196269,1,6
"1244",0.998888963270113,0.0026532875936085,1,6
"1245",0.998945764022729,0.0025270231590506,1,6
"1246",0.998971487835266,0.00246298520547407,1,6
"1247",0.998843354320735,0.00277279729773887,1,6
"1248",0.998926902527248,0.00256922878087171,1,6
"1249",0.998808606381341,0.00286109091623849,1,6
"1250",0.99894013785338,0.00253507078680194,1,6
"1251",0.998873485825375,0.0027048650027934,1,6
"1252",0.998969553689913,0.00247756334743173,1,6
"1253",0.998923671315758,0.00257355973029704,1,6
"1254",0.998874138677744,0.00269836754953364,1,6
"1255",0.999072279753857,0.00221667588164131,1,6
"1256",0.998904055032227,0.00263261806361789,1,6
"1257",0.998829922156179,0.00280885019357215,1,6
"1258",0.998907717088971,0.00262281061010564,1,6
"1259",0.998896417084325,0.00264005106553278,1,6
"1260",0.999025781727926,0.00233740022407446,1,6
"1261",0.998990301384572,0.00242233032331947,1,6
"1262",0.998879742111085,0.00268376318212687,1,6
"1263",0.99893143910174,0.00255980355349531,1,6
"1264",0.99896899646092,0.00247043799942808,1,6
"1265",0.99895510271836,0.00250878472664699,1,6
"1266",0.998911459574444,0.00260646476527708,1,6
"1267",0.998786117431333,0.00291601940303978,1,6
"1268",0.998939572382873,0.00254410526524512,1,6
"1269",0.999065523534498,0.00224273479366858,1,6
"1270",0.998837626369646,0.00277849853307808,1,6
"1271",0.999033481566316,0.00231303356403366,1,6
"1272",0.998797292873497,0.00288146570407977,1,6
"1273",0.998876492379802,0.00269112942927662,1,6
"1274",0.998846281977482,0.00276951553920774,1,6
"1275",0.99888821544837,0.00267157992504154,1,6
"1276",0.998951476425957,0.00251523408223873,1,6
"1277",0.998925182710955,0.0025739509606716,1,6
"1278",0.998841338514895,0.00277845450472532,1,6
"1279",0.99890702701939,0.00261352608643084,1,6
"1280",0.998865684166281,0.0027153812599056,1,6
"1281",0.998914678761454,0.00259764241606697,1,6
"1282",0.998726693993565,0.00305169855928563,1,6
"1283",0.998973990208166,0.00246258479515878,1,6
"1284",0.998954882588271,0.00250771327867594,1,6
"1285",0.998901675299724,0.00264157543092157,1,6
"1286",0.99896968865797,0.00247266026061711,1,6
"1287",0.998761738257752,0.00297734724366539,1,6
"1288",0.998937289005496,0.00255175639942238,1,6
"1289",0.998915032094302,0.0025977615330085,1,6
"1290",0.99897345293097,0.00245650384452502,1,6
"1291",0.99877537010797,0.00293050337101881,1,6
"1292",0.998908205809063,0.00260880669862886,1,6
"1293",0.998913234360427,0.00260037539512231,1,6
"1294",0.99873150103625,0.00303958983218989,1,6
"1295",0.998898947726812,0.00262979164079109,1,6
"1296",0.998917161402617,0.00258890141056885,1,6
"1297",0.999002767307117,0.00238618706669147,1,6
"1298",0.99895751966406,0.00250087551397142,1,6
"1299",0.998842753965916,0.00277214332479531,1,6
"1300",0.998839422588382,0.00278077264201035,1,6
"1301",0.998885462534971,0.00267489028869547,10,6
"1302",0.999043093474577,0.0022918917192727,10,6
"1303",0.998939636600796,0.00254131466004397,10,6
"1304",0.998925787427691,0.00256955136741536,10,6
"1305",0.99892638439808,0.00257530057026972,10,6
"1306",0.998808694176804,0.00285096193040586,10,6
"1307",0.998810330130459,0.00284660458554596,10,6
"1308",0.998894410898351,0.00265464010422315,10,6
"1309",0.998875011753421,0.0026976255306447,10,6
"1310",0.998940230451788,0.00253101198769836,10,6
"1311",0.998956456586095,0.00250131688342698,10,6
"1312",0.998979937007198,0.00243601252291065,10,6
